manager,market,manager_brand,unit_count,miles_from_city_center,number_stories,property_quality,building_age,total_pop,land_area,pop_density,unemployed_perc,hs_diploma_perc,bachelors_perc,masters_perc,star_rating,aided_recognition,unaided_recognition,rating,area_type_Rural,area_type_Suburban,area_type_Urban,style_Garden,style_Hi-Rise,style_Low-Rise,style_Mid-Rise,style_Townhome,building_class_A,building_class_B,building_class_C
AMLI,"Atlanta, GA",1.0,322.38461538461536,2.285844081344824,9.461538461538462,0.7753749986514777,9.846153846153847,3951.076923076923,1226510.6153846155,0.0046212817435415466,0.020922094045426352,0.043412523650940206,0.322940359120869,0.17205519810663267,4.076923076923077,0.2896652110625909,,4.292307692307692,0.0,0.0,0.38461538461538464,0.0,0.23076923076923078,0.0,0.7692307692307693,0.0,0.23076923076923078,0.7692307692307693,0.0
AMLI,"Austin, TX",1.0,276.75,4.058717558192744,4.75,0.7609201924816676,13.75,5816.25,4730340.25,0.002675916861639625,0.02405940696138085,0.05728689523170748,0.37712547853960604,0.14070660766867976,3.5,0.3636363636363636,,4.025,0.0,0.5,0.25,0.25,0.0,0.0,0.75,0.0,0.0,1.0,0.0
AMLI,"Dallas-Fort Worth, TX",1.0,341.75,13.406264463238012,4.0,0.7858372524576012,8.75,4688.25,4126083.625,0.001440820285481725,0.032838010944305975,0.058721142454671235,0.2939600347507708,0.18060223182676619,4.0,0.2736,,4.2375,0.0,0.75,0.125,0.125,0.125,0.0,0.75,0.0,0.375,0.625,0.0
AMLI,"Denver, CO",1.0,301.6666666666667,4.771534187167408,5.333333333333333,0.7510646774021502,8.777777777777779,3790.3333333333335,3031603.777777778,0.003957165122856611,0.040133780229229685,0.04141778605948167,0.36946818487704874,0.14839698585118508,3.7777777777777777,0.25,,4.522222222222222,0.0,0.2222222222222222,0.3333333333333333,0.0,0.0,0.0,1.0,0.0,0.2222222222222222,0.7777777777777778,0.0
AMLI,"Miami, FL",0.6666666666666666,486.3333333333333,3.358858220521725,13.666666666666666,0.8111591506828951,7.0,4390.0,1401985.6666666667,0.0033879339116454003,0.05286264778667749,0.14675013882158047,0.25169042044033224,0.07052822612265634,4.0,0.1327683615819209,,4.366666666666666,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.6666666666666666,0.0,0.6666666666666666,0.3333333333333333,0.0
AvalonBay,"Austin, TX",1.0,327.6666666666667,14.107706692861862,2.6666666666666665,0.6913323502023586,7.333333333333333,4352.333333333333,11159757.0,0.0004400562827974,0.034677433989320404,0.1031192527737243,0.2903009966002946,0.1072311435323028,3.6666666666666665,0.0,,4.5,0.0,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.0
AvalonBay,"Charlotte, NC",1.0,223.0,8.992052789558924,4.25,0.7942108825191788,7.0,3910.5,4334356.5,0.0015172079371348999,0.025472136445403477,0.08264070948314713,0.2493827478742712,0.10218957007193595,4.0,0.2435233160621761,,4.3,0.0,1.0,0.0,0.25,0.0,0.0,0.75,0.0,1.0,0.0,0.0
AvalonBay,"Dallas-Fort Worth, TX",0.5454545454545454,335.72727272727275,21.719678114464315,3.272727272727273,0.7367385423071766,13.0,4299.454545454545,8800007.727272727,0.0012619568448060273,0.02240978501812008,0.084569119120004,0.23271705594966485,0.10277409548974538,3.909090909090909,0.0,,4.37,0.0,0.5454545454545454,0.09090909090909091,0.7272727272727273,0.0,0.0,0.2727272727272727,0.0,0.6363636363636364,0.36363636363636365,0.0
AvalonBay,"Denver, CO",1.0,283.57142857142856,10.306950822283957,3.2857142857142856,0.7812971896294746,7.142857142857143,6155.571428571428,4512304.571428572,0.0022147609280619572,0.026454324587576173,0.10076549864841698,0.25716702980907613,0.10537920221187747,4.142857142857143,0.242063492063492,,4.114285714285715,0.0,0.5714285714285714,0.14285714285714285,0.42857142857142855,0.0,0.14285714285714285,0.42857142857142855,0.0,0.8571428571428571,0.14285714285714285,0.0
AvalonBay,"Miami, FL",1.0,306.0,8.87793423130781,10.333333333333334,0.8093079918065323,4.666666666666667,4223.666666666667,2947582.0,0.0026739551838942,0.039571145684861565,0.12641523770105886,0.13796217726134474,0.047464830628755866,4.0,0.3008474576271186,,4.633333333333334,0.0,1.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,1.0,0.0,0.0
