manager,manager_brand,market,unit_count,miles_from_city_center,number_stories,property_quality,building_age,total_pop,land_area,pop_density,unemployed_perc,hs_diploma_perc,bachelors_perc,masters_perc,star_rating,aided_recognition,unaided_recognition,rating,area_type_Rural,area_type_Suburban,area_type_Urban,style_Garden,style_Hi-Rise,style_Low-Rise,style_Mid-Rise,style_Townhome,building_class_A,building_class_B,building_class_C
AMLI,1,"Atlanta, GA",391.0,1.4334425214023403,23.0,0.8082140798977723,6.0,3937.0,727699.0,0.0054102039442131,0.016256032512065,0.0444500889001778,0.3477266954533909,0.1889763779527559,4.0,0.2896652110625909,,4.0,0,0,0,0,1,0,0,0,0,1,0
AMLI,1,"Atlanta, GA",251.0,1.373826248856225,6.0,0.7916833934205091,7.0,4564.0,1024389.0,0.0044553387433875,0.0587204206836108,0.0102979842243645,0.1474583698510078,0.1286152497808939,4.0,0.2896652110625909,,4.6,0,0,0,0,0,0,1,0,0,1,0
AMLI,1,"Atlanta, GA",271.0,1.3837501400986267,6.0,0.8241251888027612,2.0,3937.0,727699.0,0.0054102039442131,0.016256032512065,0.0444500889001778,0.3477266954533909,0.1889763779527559,4.0,0.2896652110625909,,4.6,0,0,1,0,0,0,1,0,0,1,0
Bell,0,"Atlanta, GA",244.0,1.857163707572557,1.0,0.5481810348374503,20.0,3507.0,674820.0,0.0051969414065973,0.0028514399771884,0.0208155118334759,0.4029084687767322,0.2110065583119475,4.0,0.0756914119359534,,4.2,0,0,1,0,0,0,1,0,1,0,0
Bell,1,"Atlanta, GA",110.0,2.767467485946528,4.0,0.7150802342042224,17.0,2063.0,1076423.0,0.001916532812844,0.0334464372273388,0.0198739699466795,0.2287930198739699,0.1793504604944256,4.0,0.0756914119359534,,4.8,0,0,0,0,0,0,1,0,0,1,0
Bell,1,"Atlanta, GA",800.0,10.59829404490814,3.0,0.7488038601400384,28.0,1793.0,2131324.0,0.0008412611128106,0.0513106525376464,0.0630228667038483,0.2799776910206358,0.0663692136084774,4.0,0.0756914119359534,,4.3,0,0,0,1,0,0,0,0,0,1,0
Bell,0,"Atlanta, GA",193.0,13.50428007254138,3.0,0.6559715506310265,13.0,6890.0,3928139.0,0.0017540112506202,0.009288824383164,0.0671988388969521,0.2808417997097242,0.1283018867924528,4.0,0.0756914119359534,,4.3,0,0,0,1,0,0,0,0,1,0,0
Bell,1,"Atlanta, GA",380.0,0.9120187793957212,4.0,0.7740009508316547,17.0,2631.0,1302967.0,0.0020192376322654,0.0110224249334853,0.0235651843405549,0.3116685670847586,0.3413150893196503,4.0,0.0756914119359534,,4.5,0,0,1,0,0,0,1,0,1,0,0
Bell,1,"Atlanta, GA",450.0,15.344290332728846,3.0,0.7594614217057825,26.0,4621.0,4934363.0,0.0009364937277618,0.0151482363124864,0.0988963427829474,0.15516122051504,0.0848301233499242,3.0,0.0756914119359534,,4.4,0,0,0,1,0,0,0,0,0,1,0
Bell,1,"Atlanta, GA",355.0,0.6444621786763632,8.0,0.7923971806802016,11.0,3175.0,2085594.0,0.0015223480696626,0.0220472440944881,0.0066141732283464,0.3807874015748032,0.1461417322834645,4.0,0.0756914119359534,,4.0,0,0,0,0,0,0,1,0,1,0,0
Bell,1,"Atlanta, GA",256.0,2.347965552738297,5.0,0.7949820437778058,10.0,2307.0,989876.0,0.002330594943205,0.0437798006068487,0.0104031209362808,0.3901170351105331,0.1829215431296055,4.0,0.0756914119359534,,3.6,0,0,0,0,0,0,1,0,0,1,0
Bell,1,"Atlanta, GA",280.0,2.6010169884557635,5.0,0.7406168409936889,10.0,2683.0,2458748.0,0.0010912057681389,0.0074543421543048,0.0477077897875512,0.4215430488259411,0.2035035408125232,4.0,0.0756914119359534,,4.4,0,0,0,0,0,0,1,0,1,0,0
Bell,1,"Atlanta, GA",180.0,1.0263660110017196,6.0,0.7316318261452578,10.0,4354.0,1887210.0,0.0023071094366816,0.005512172714745,0.0723472668810289,0.3137344970142398,0.1469912723932016,4.0,0.0756914119359534,,4.4,0,0,0,0,0,0,1,0,0,1,0
Bell,0,"Atlanta, GA",384.0,0.0399212679051838,7.0,0.7872431630965203,8.0,4883.0,3557837.0,0.0013724631004736,0.0253942248617653,0.0950235510956379,0.2607003891050584,0.1417161580995289,4.0,0.0756914119359534,,4.2,0,0,0,0,0,0,1,0,1,0,0
Bell,0,"Atlanta, GA",290.0,14.43105951090274,3.0,0.8145533154672395,5.0,2926.0,7287696.0,0.0004014986355083,0.0194805194805194,0.0960355434039644,0.2450444292549555,0.0775803144224196,4.0,0.0756914119359534,,4.6,0,0,0,1,0,0,0,0,1,0,0
Bell,0,"Atlanta, GA",277.0,0.1229323238558251,12.0,0.8154933580739925,5.0,2271.0,1528087.0,0.0014861719260748,0.0246587406428885,0.1122853368560105,0.3139586085424923,0.0629678555702333,5.0,0.0756914119359534,,4.4,0,0,0,0,0,0,1,0,1,0,0
Bell,0,"Atlanta, GA",318.0,0.7042046317841405,3.0,0.8128741422322271,5.0,5757.0,6456849.0,0.0008916113726679,0.0102483932603786,0.0748653812749696,0.1007469167969428,0.0272711481674483,4.0,0.0756914119359534,,4.3,0,0,0,0,0,0,1,0,1,0,0
