,market,rank,total_units,total_properties,lat,lon,submarket
359,"Fond du Lac, WI",3,420.0,1,43.74,-88.45,Suburban Fond du Lac
360,"Fort Collins, CO",1,1500.0,1,40.62,-105.02,Fort Collins
361,"Fort Collins, CO",2,1300.0,1,40.44,-105.13,Loveland
362,"Fort Collins, CO",3,750.0,2,40.54,-105.07,Fort Collins
363,"Fort Lauderdale, FL",1,8999.0,26,26.13,-80.14,Flagler Heights
364,"Fort Lauderdale, FL",2,6803.0,20,26.12,-80.14,Downtown Fort Lauderdale
365,"Fort Lauderdale, FL",3,4523.0,2,26.22,-80.15,Arvida Pompano Park
366,"Fort Myers, FL",1,1916.0,5,26.61,-81.83,Outer Central Lee County
367,"Fort Myers, FL",2,1781.0,2,26.65,-82.0,Mariner
368,"Fort Myers, FL",3,1369.0,4,26.6,-81.81,Outer Central Lee County
369,"Fort Smith, AR",1,468.0,1,35.33,-94.38,Fort Smith Eastside
370,"Fort Smith, AR",2,441.0,2,35.38,-94.37,Fort Smith Northside
371,"Fort Smith, AR",3,438.0,1,35.29,-94.33,Outlying Sebastian County
372,"Fort Wayne, IN",1,2244.0,2,41.12,-85.1,Canterbury Green
373,"Fort Wayne, IN",2,988.0,2,41.01,-85.12,South Fort Wayne
374,"Fort Wayne, IN",3,802.0,3,41.07,-85.22,Southwest Fort Wayne
375,"Fresno, CA",1,1630.0,7,36.85,-119.8,Bullard
376,"Fresno, CA",2,1170.0,5,36.82,-119.86,Fig Garden Loop
377,"Fresno, CA",3,1002.0,4,36.87,-119.76,Woodward Park
378,"Ft Walton Beach, FL",1,861.0,3,30.39,-86.45,Fort Walton Beach
379,"Ft Walton Beach, FL",2,672.0,5,30.74,-86.56,Fort Walton Beach
380,"Ft Walton Beach, FL",3,484.0,2,30.72,-86.61,Fort Walton Beach
381,"Gadsden, AL",1,300.0,2,34.01,-86.01,Etowah County
382,"Gadsden, AL",2,248.0,1,34.0,-86.0,Etowah County
383,"Gadsden, AL",3,235.0,3,34.0,-85.96,Etowah County
384,"Gainesville, FL",1,1514.0,9,29.62,-82.37,South Gainesville
385,"Gainesville, FL",2,1295.0,6,29.65,-82.41,West Gainesville
386,"Gainesville, FL",3,1128.0,8,29.65,-82.42,West Gainesville
387,"Gainesville, GA",1,949.0,2,34.31,-83.87,Gainesville
388,"Gainesville, GA",2,896.0,3,34.24,-83.88,Oakwood/Flowery Branch
389,"Gainesville, GA",3,801.0,5,34.28,-83.86,Gainesville
390,"Gettysburg, PA",1,112.0,1,39.83,-77.27,Adams County
391,"Gettysburg, PA",2,110.0,1,39.86,-77.07,Adams County
392,"Gettysburg, PA",3,96.0,1,39.87,-77.23,Adams County
393,"Glens Falls, NY",1,581.0,7,43.31,-73.65,Warren County
394,"Glens Falls, NY",2,400.0,1,43.41,-73.71,Warren County
395,"Glens Falls, NY",3,389.0,2,43.34,-73.68,Warren County
396,"Goldsboro, NC",1,288.0,1,35.39,-77.93,North Carolina Southeast Area
397,"Goldsboro, NC",2,264.0,1,35.38,-77.93,North Carolina Southeast Area
398,"Goldsboro, NC",3,238.0,2,35.38,-78.0,North Carolina Southeast Area
399,"Grand Forks, ND",1,773.0,4,47.89,-97.08,North Dakota Area
400,"Grand Forks, ND",2,644.0,6,47.89,-97.06,North Dakota Area
401,"Grand Forks, ND",3,632.0,3,47.9,-97.08,North Dakota Area
402,"Grand Island, NE",1,367.0,2,40.94,-98.39,I-80 Corridor
403,"Grand Island, NE",2,302.0,3,40.93,-98.39,I-80 Corridor
404,"Grand Island, NE",3,280.0,1,40.89,-98.34,I-80 Corridor
405,"Grand Junction, CO",1,330.0,2,39.07,-108.57,Colorado Northwest Area
406,"Grand Junction, CO",2,242.0,2,39.09,-108.58,Colorado Northwest Area
407,"Grand Junction, CO",3,216.0,2,39.08,-108.51,Colorado Northwest Area
408,"Grand Rapids, MI",1,1764.0,1,43.04,-85.69,North Grand Rapids
409,"Grand Rapids, MI",2,1620.0,15,42.96,-85.67,Downtown Grand Rapids
410,"Grand Rapids, MI",3,1184.0,1,42.89,-85.73,Outer Kentwood/Wyoming
411,"Grants Pass, OR",1,2816.0,1,42.43,-123.33,Medford/Grants Pass
412,"Grants Pass, OR",2,167.0,1,42.43,-123.3,Medford/Grants Pass
413,"Grants Pass, OR",3,110.0,2,42.42,-123.32,Medford/Grants Pass
414,"Great Falls, MT",1,356.0,1,47.5,-111.28,
415,"Great Falls, MT",2,288.0,1,47.48,-111.27,Helena/Great Falls
416,"Great Falls, MT",3,288.0,1,47.48,-111.26,Helena/Great Falls
417,"Greeley, CO",1,1050.0,4,40.4,-104.74,Greeley
418,"Greeley, CO",2,958.0,3,40.16,-105.05,South Weld County
419,"Greeley, CO",3,815.0,4,40.39,-104.71,Greeley
420,"Green Bay, WI",1,802.0,2,44.52,-87.96,Central Green Bay
421,"Green Bay, WI",2,677.0,5,44.52,-88.01,Downtown Green Bay
422,"Green Bay, WI",3,627.0,5,44.48,-88.0,Starlite
423,"Greensboro, NC",1,1145.0,5,36.07,-79.79,Downtown Greensboro
424,"Greensboro, NC",2,995.0,5,36.05,-79.8,Smith Homes
425,"Greensboro, NC",3,872.0,4,36.03,-79.97,Jamestown/High Point
426,"Greenville, NC",1,1090.0,6,35.57,-77.36,Southeast Greenville
427,"Greenville, NC",2,1002.0,5,35.56,-77.35,North Carolina Northeast Area
428,"Greenville, NC",3,868.0,4,35.62,-77.41,West Greenville
429,"Greenville, SC",1,1632.0,5,34.84,-82.34,Eastside
430,"Greenville, SC",2,1216.0,5,34.85,-82.41,West Downtown
431,"Greenville, SC",3,1072.0,5,34.8,-82.32,Outer Greenville/Mauldin
432,"Gulfport-Biloxi-Pascagoula, MS",1,751.0,4,30.4,-88.99,Biloxi/Gulfport
433,"Gulfport-Biloxi-Pascagoula, MS",2,728.0,4,30.4,-89.0,Biloxi/Gulfport
434,"Gulfport-Biloxi-Pascagoula, MS",3,600.0,5,30.37,-88.53,Biloxi/Gulfport
435,"Hagerstown, MD",1,461.0,1,39.61,-77.75,Outer Downtown/Maugansville
436,"Hagerstown, MD",2,432.0,1,39.46,-77.97,Berkeley County
437,"Hagerstown, MD",3,432.0,1,39.66,-77.7,Outer Robinwood/Paramnt/Fountain Head
438,"Hammond, LA",1,379.0,2,30.49,-90.46,Louisiana South Area
439,"Hammond, LA",2,336.0,1,30.48,-90.41,Louisiana South Area
440,"Hammond, LA",3,280.0,2,30.53,-90.48,Louisiana South Area
441,"Hanford-Corcoran, CA",1,661.0,3,36.36,-119.65,Kings County
442,"Hanford-Corcoran, CA",2,524.0,3,36.31,-119.78,Kings County
443,"Hanford-Corcoran, CA",3,322.0,1,36.32,-119.68,Kings County
444,"Harrisburg, PA",1,1182.0,7,40.26,-76.88,Downtown Harrisburg
445,"Harrisburg, PA",2,1040.0,2,40.28,-76.81,Progress/Colonial Park
446,"Harrisburg, PA",3,919.0,1,40.26,-76.69,South Dauphin County
447,"Harrisonburg, VA",1,448.0,2,38.41,-78.86,Staunton & Harrisonburg
448,"Harrisonburg, VA",2,408.0,1,38.4,-78.87,Staunton & Harrisonburg
449,"Harrisonburg, VA",3,404.0,2,38.43,-78.9,Staunton & Harrisonburg
450,"Hartford, CT",1,2275.0,15,41.77,-72.68,Downtown Hartford
451,"Hartford, CT",2,2226.0,10,41.77,-72.67,Downtown Hartford
452,"Hartford, CT",3,1187.0,8,41.77,-72.69,Asylum Hill
453,"Hattiesburg, MS",1,800.0,3,31.33,-89.36,Hattiesburg/South Area
454,"Hattiesburg, MS",2,624.0,4,31.35,-89.34,Hattiesburg/South Area
455,"Hattiesburg, MS",3,589.0,3,31.35,-89.35,Hattiesburg/South Area
456,"Hickory, NC",1,666.0,4,35.76,-81.3,Outer City Of Hickory
457,"Hickory, NC",2,428.0,1,35.7,-81.3,Outer City Of Hickory
458,"Hickory, NC",3,412.0,1,35.58,-80.98,Outlying Catawba County
459,"Hilton Head Island, SC",1,858.0,4,32.39,-80.69,Hilton Head/Beaufort
460,"Hilton Head Island, SC",2,660.0,3,32.43,-80.71,Hilton Head/Beaufort
461,"Hilton Head Island, SC",3,588.0,2,32.33,-80.95,I-95 Walterboro/Hardeeville
462,"Hinesville, GA",1,515.0,4,31.85,-81.58,Outer Liberty County
463,"Hinesville, GA",2,292.0,1,31.83,-81.65,Outer Liberty County
464,"Hinesville, GA",3,266.0,2,31.86,-81.6,Outer Liberty County
465,"Homosassa Springs, FL",1,152.0,2,28.91,-82.59,Florida Central North Area
466,"Homosassa Springs, FL",2,106.0,1,28.84,-82.35,Florida Central North Area
467,"Homosassa Springs, FL",3,100.0,1,28.92,-82.47,Florida Central North Area
468,"Honolulu, HI",1,4500.0,2,21.33,-157.87,Kalihi-Palama
469,"Honolulu, HI",2,3756.0,7,21.32,-157.86,Kalihi-Palama
470,"Honolulu, HI",3,2677.0,12,21.31,-157.86,Downtown Honolulu
471,"Hot Springs, AR",1,296.0,1,34.45,-93.16,Arkansas South Area
472,"Hot Springs, AR",2,256.0,1,34.46,-93.07,Arkansas South Area
473,"Hot Springs, AR",3,253.0,1,34.46,-93.08,Arkansas South Area
474,"Houma-Thibodaux, LA",1,627.0,2,29.6,-90.76,Louisiana South Area
475,"Houma-Thibodaux, LA",2,322.0,2,29.63,-90.76,Louisiana South Area
476,"Houma-Thibodaux, LA",3,246.0,1,29.62,-90.76,Louisiana South Area
477,"Houston, TX",1,5928.0,12,29.72,-95.49,Gulfton
478,"Houston, TX",2,4503.0,7,29.72,-95.48,Gulfton
479,"Houston, TX",3,3990.0,13,29.74,-95.5,Uptown Houston
480,"Huntington, WV",1,460.0,2,38.48,-82.66,Ashland
481,"Huntington, WV",2,444.0,2,38.42,-82.3,Huntington
482,"Huntington, WV",3,340.0,1,38.45,-81.9,Teays Valley
483,"Huntsville, AL",1,1418.0,7,34.74,-86.65,University/Research Park
484,"Huntsville, AL",2,1403.0,4,34.77,-86.68,University/Research Park
485,"Huntsville, AL",3,1305.0,5,34.75,-86.68,University/Research Park
486,"Idaho Falls, ID",1,576.0,2,43.5,-111.98,Idaho South Area
487,"Idaho Falls, ID",2,471.0,2,43.47,-112.07,Idaho South Area
488,"Idaho Falls, ID",3,409.0,2,43.49,-112.05,Idaho South Area
489,"Indianapolis, IN",1,2174.0,13,39.77,-86.15,Chatham Arch
490,"Indianapolis, IN",2,2129.0,12,39.77,-86.16,Circle City
491,"Indianapolis, IN",3,1987.0,2,39.77,-86.26,Garden City
492,"Inland Empire, CA",1,1830.0,3,34.08,-117.56,Rancho Cucamonga
493,"Inland Empire, CA",2,1688.0,5,33.89,-117.52,Corona
494,"Inland Empire, CA",3,1621.0,2,33.96,-117.62,Chino
495,"Iowa City, IA",1,439.0,4,41.65,-91.53,Downtown Iowa City
496,"Iowa City, IA",2,416.0,2,41.65,-91.55,Roosevelt
497,"Iowa City, IA",3,407.0,3,41.72,-91.65,Iowa City/Waterloo
498,"Ithaca, NY",1,931.0,10,42.44,-76.5,Downtown Ithaca
499,"Ithaca, NY",2,511.0,2,42.51,-76.47,Ithaca/Elmira
500,"Ithaca, NY",3,411.0,2,42.49,-76.47,Ithaca/Elmira
501,"Jackson, MI",1,743.0,2,42.28,-84.45,Jackson County
502,"Jackson, MI",2,686.0,2,42.28,-84.46,Jackson County
503,"Jackson, MI",3,625.0,4,42.28,-84.44,Jackson County
504,"Jackson, MS",1,926.0,4,32.41,-90.1,Outer Ridgeland/Madison
505,"Jackson, MS",2,886.0,3,32.19,-90.26,Outlying Hinds County
506,"Jackson, MS",3,860.0,3,32.41,-90.11,Outer Ridgeland/Madison
507,"Jackson, TN",1,560.0,1,35.73,-88.84,Tennessee West Area
508,"Jackson, TN",2,550.0,3,35.7,-88.85,Tennessee West Area
509,"Jackson, TN",3,500.0,1,35.72,-88.85,Tennessee West Area
510,"Jacksonville, FL",1,3148.0,8,30.22,-81.56,Baymeadows
511,"Jacksonville, FL",2,1892.0,11,30.33,-81.66,Northbank
512,"Jacksonville, FL",3,1759.0,5,30.25,-81.57,Baymeadows
513,"Jacksonville, NC",1,778.0,4,34.8,-77.43,North Carolina Southeast Area
514,"Jacksonville, NC",2,694.0,1,34.76,-77.41,North Carolina Southeast Area
515,"Jacksonville, NC",3,508.0,3,34.8,-77.41,North Carolina Southeast Area
516,"Janesville-Beloit, WI",1,805.0,4,42.67,-88.99,Janesville
517,"Janesville-Beloit, WI",2,458.0,2,42.7,-88.98,Janesville
518,"Janesville-Beloit, WI",3,292.0,2,42.52,-88.97,Beloit
519,"Jefferson City, MO",1,360.0,1,38.58,-92.2,Columbia/Jefferson City
520,"Jefferson City, MO",2,239.0,2,38.55,-92.19,Columbia/Jefferson City
521,"Jefferson City, MO",3,158.0,1,38.58,-92.25,Columbia/Jefferson City
522,"Johnson City, TN",1,696.0,2,36.34,-82.41,Bristol/Kingsport
523,"Johnson City, TN",2,511.0,6,36.3,-82.33,Bristol/Kingsport
524,"Johnson City, TN",3,461.0,2,36.3,-82.38,Bristol/Kingsport
525,"Johnstown, PA",1,467.0,3,40.32,-78.92,Altoona/Johnstown
526,"Johnstown, PA",2,400.0,1,40.36,-78.95,Altoona/Johnstown
527,"Johnstown, PA",3,248.0,1,40.31,-78.89,Altoona/Johnstown
528,"Jonesboro, AR",1,756.0,2,35.79,-90.68,Arkansas North Area
529,"Jonesboro, AR",2,664.0,3,35.79,-90.69,Arkansas North Area
530,"Jonesboro, AR",3,535.0,5,35.85,-90.68,Downtown Jonesboro
531,"Joplin, MO",1,396.0,4,37.13,-94.48,Missouri South Area
532,"Joplin, MO",2,360.0,3,37.07,-94.5,Missouri South Area
533,"Joplin, MO",3,304.0,2,37.07,-94.47,Missouri South Area
534,"Kahului-Wailuku-Lahaina, HI",1,1600.0,1,20.87,-156.44,Kula
535,"Kahului-Wailuku-Lahaina, HI",2,528.0,3,20.95,-156.69,Lahaina
536,"Kahului-Wailuku-Lahaina, HI",3,324.0,1,20.87,-156.5,Wailuku
537,"Kalamazoo, MI",1,1942.0,7,42.28,-85.65,Outer North Kalamazoo County
538,"Kalamazoo, MI",2,1146.0,1,42.33,-85.52,Outer North Kalamazoo County
539,"Kalamazoo, MI",3,880.0,2,42.2,-85.63,Portage
540,"Kankakee, IL",1,265.0,2,41.12,-87.83,Illinois North Area
541,"Kankakee, IL",2,201.0,2,41.13,-87.87,Illinois North Area
542,"Kankakee, IL",3,128.0,1,41.16,-87.87,
543,"Kansas City, MO",1,6316.0,30,39.1,-94.58,Financial District
544,"Kansas City, MO",2,2586.0,14,39.11,-94.58,River Market
545,"Kansas City, MO",3,2212.0,14,39.1,-94.59,Quality Hill
546,"Kennewick-Richland, WA",1,933.0,6,46.2,-119.13,Yakima/Kennewick
547,"Kennewick-Richland, WA",2,880.0,7,46.3,-119.28,Yakima/Kennewick
548,"Kennewick-Richland, WA",3,647.0,4,46.23,-119.12,Yakima/Kennewick
549,"Killeen, TX",1,718.0,3,31.08,-97.46,Belton
550,"Killeen, TX",2,713.0,3,31.11,-97.74,Killeen/Fort Cavazos
551,"Killeen, TX",3,700.0,5,31.12,-97.7,Killeen/Fort Cavazos
552,"Kingsport, TN",1,369.0,1,36.55,-82.64,Hawkins County
553,"Kingsport, TN",2,334.0,3,36.59,-82.22,Outer Bristol
554,"Kingsport, TN",3,280.0,1,36.56,-82.5,Town Of Kingsport
555,"Kingston, NY",1,326.0,2,41.75,-74.07,Newburgh/Kingston
556,"Kingston, NY",2,286.0,3,41.92,-73.99,Kingston Waterfront
557,"Kingston, NY",3,267.0,1,41.94,-74.04,Newburgh/Kingston
558,"Knoxville, TN",1,1608.0,7,35.97,-83.91,East Knoxville
559,"Knoxville, TN",2,1133.0,4,35.93,-84.06,Westside
560,"Knoxville, TN",3,945.0,4,35.92,-84.03,Westside
561,"Kokomo, IN",1,488.0,3,40.45,-86.13,Lafayette/Kokomo
562,"Kokomo, IN",2,422.0,2,40.45,-86.14,Lafayette/Kokomo
563,"Kokomo, IN",3,346.0,3,40.44,-86.14,Lafayette/Kokomo
564,"La Crosse-Onalaska, WI",1,487.0,6,43.81,-91.25,Downtown La Crosse
565,"La Crosse-Onalaska, WI",2,365.0,4,43.82,-91.25,Downtown La Crosse
566,"La Crosse-Onalaska, WI",3,293.0,4,43.82,-91.24,Downtown La Crosse
567,"Lafayette, LA",1,1160.0,5,30.16,-92.04,Central Lafayette Parish
568,"Lafayette, LA",2,845.0,4,30.17,-92.07,Central Lafayette Parish
569,"Lafayette, LA",3,744.0,1,30.21,-92.05,Central Lafayette Parish
570,"Lafayette-West Lafayette, IN",1,917.0,2,40.38,-86.86,Lafayette/Kokomo
571,"Lafayette-West Lafayette, IN",2,722.0,5,40.39,-86.91,Lafayette/Kokomo
572,"Lafayette-West Lafayette, IN",3,675.0,3,40.42,-86.82,Lafayette/Kokomo
573,"Lake Charles, LA",1,1161.0,7,30.18,-93.19,Lake Charles
574,"Lake Charles, LA",2,774.0,5,30.17,-93.24,Lake Charles
575,"Lake Charles, LA",3,564.0,2,30.17,-93.25,Lake Charles
576,"Lake Havasu, AZ",1,294.0,3,35.22,-114.02,Prescott & Sedona
577,"Lake Havasu, AZ",2,273.0,2,35.11,-114.57,Prescott & Sedona
578,"Lake Havasu, AZ",3,204.0,1,35.18,-114.53,Prescott & Sedona
579,"Lakeland, FL",1,1570.0,3,28.1,-81.96,City of Lakeland
580,"Lakeland, FL",2,1512.0,2,27.98,-81.64,Winter Haven/Lake Wales
581,"Lakeland, FL",3,1082.0,2,28.1,-81.98,City of Lakeland
582,"Lancaster, PA",1,785.0,2,40.04,-76.23,Outer Lancaster
583,"Lancaster, PA",2,755.0,2,40.07,-76.36,Outer Lancaster
584,"Lancaster, PA",3,672.0,3,40.02,-76.32,Prospect Heights
585,"Lansing, MI",1,1495.0,2,42.69,-84.51,Forest View
586,"Lansing, MI",2,1316.0,6,42.75,-84.66,Delta Township
587,"Lansing, MI",3,703.0,5,42.73,-84.56,Downtown Lansing
588,"Laredo, TX",1,424.0,1,27.5,-99.45,Texas South Area
589,"Laredo, TX",2,385.0,1,27.6,-99.52,Texas South Area
590,"Laredo, TX",3,310.0,2,27.58,-99.46,Texas South Area
591,"Las Cruces, NM",1,792.0,5,32.33,-106.74,Las Cruces/Alamogordo
592,"Las Cruces, NM",2,724.0,6,32.29,-106.74,Las Cruces/Alamogordo
593,"Las Cruces, NM",3,505.0,5,32.31,-106.74,Las Cruces/Alamogordo
594,"Las Vegas, NV",1,3630.0,15,36.12,-115.15,University District
595,"Las Vegas, NV",2,2321.0,6,36.08,-115.03,Midway
596,"Las Vegas, NV",3,2315.0,9,36.12,-115.14,University District
597,"Lawrence, KS",1,1360.0,3,38.98,-95.32,West Lawrence
598,"Lawrence, KS",2,1204.0,11,38.94,-95.26,South Lawrence
599,"Lawrence, KS",3,699.0,2,38.96,-95.27,Sunset Hills
600,"Lawton, OK",1,878.0,4,34.61,-98.35,Oklahoma West Area
601,"Lawton, OK",2,522.0,2,34.61,-98.42,Oklahoma West Area
602,"Lawton, OK",3,478.0,3,34.61,-98.45,Oklahoma West Area
603,"Lebanon, PA",1,560.0,3,40.32,-76.43,Lebanon
604,"Lebanon, PA",2,288.0,3,40.35,-76.43,Lebanon
605,"Lebanon, PA",3,218.0,1,40.29,-76.59,Palmyra
606,"Lehigh Valley, PA",1,1520.0,13,40.6,-75.47,City Center
607,"Lehigh Valley, PA",2,851.0,7,40.6,-75.48,City Center
608,"Lehigh Valley, PA",3,812.0,1,40.83,-74.83,Warren County
609,"Lewiston, ID",1,162.0,2,46.41,-117.08,Asotin
610,"Lewiston, ID",2,120.0,1,46.39,-117.01,Nez Perce
611,"Lewiston, ID",3,102.0,1,46.38,-117.0,Nez Perce
612,"Lewiston-Auburn, ME",1,296.0,1,44.12,-70.21,
613,"Lewiston-Auburn, ME",2,241.0,2,44.1,-70.22,Maine South & Augusta
614,"Lewiston-Auburn, ME",3,168.0,1,44.12,-70.23,Portland Surrounding
615,"Lexington, KY",1,1339.0,11,38.05,-84.55,West Lexington
616,"Lexington, KY",2,938.0,2,37.97,-84.49,Outer South Fayette County
617,"Lexington, KY",3,874.0,3,37.98,-84.53,South Lexington
618,"Lima, OH",1,332.0,3,40.77,-84.13,Lima/Findlay
619,"Lima, OH",2,282.0,2,40.77,-84.12,Lima/Findlay
620,"Lima, OH",3,275.0,1,40.77,-84.14,
621,"Lincoln, NE",1,1030.0,3,40.83,-96.64,Bethany
622,"Lincoln, NE",2,825.0,3,40.72,-96.67,South Lincoln
623,"Lincoln, NE",3,807.0,3,40.78,-96.62,South Lincoln
624,"Little Rock, AR",1,1459.0,8,34.77,-92.31,Riverdale
625,"Little Rock, AR",2,1023.0,2,34.78,-92.24,North Little Rock
626,"Little Rock, AR",3,984.0,2,34.61,-92.52,Saline County
627,"Logan, UT",1,636.0,5,41.76,-111.84,Bridger
628,"Logan, UT",2,543.0,2,41.73,-111.86,Ellis
629,"Logan, UT",3,413.0,1,41.77,-111.83,North Logan
630,"Long Island, NY",1,2000.0,1,40.8,-73.29,Brentwood
631,"Long Island, NY",2,1591.0,8,40.71,-73.62,Hempstead
632,"Long Island, NY",3,1469.0,8,40.71,-73.63,Hempstead
633,"Longview, TX",1,1128.0,5,32.55,-94.75,Tyler & Longview
634,"Longview, TX",2,728.0,3,32.51,-94.77,Tyler & Longview
635,"Longview, TX",3,492.0,2,32.55,-94.72,Tyler & Longview
636,"Longview, WA",1,298.0,2,46.18,-122.91,Kelso
637,"Longview, WA",2,196.0,1,46.17,-122.98,Mint Valley
638,"Longview, WA",3,192.0,2,46.13,-122.97,Highlands
639,"Los Angeles, CA",1,11047.0,37,34.04,-118.26,South Park
640,"Los Angeles, CA",2,10095.0,28,34.05,-118.26,Financial District
641,"Los Angeles, CA",3,9317.0,42,34.05,-118.25,Historic Downtown LA
642,"Louisville, KY",1,1922.0,10,38.25,-85.76,Fourth Street
643,"Louisville, KY",2,1850.0,7,38.25,-85.74,NuLu
644,"Louisville, KY",3,1584.0,3,38.24,-85.63,S Outer St Matthews/Lyndon
645,"Lubbock, TX",1,1637.0,9,33.55,-101.93,Wester
646,"Lubbock, TX",2,1021.0,5,33.54,-101.93,Wester
647,"Lubbock, TX",3,845.0,4,33.57,-101.94,Bowie
648,"Lynchburg, VA",1,720.0,1,37.38,-79.23,Lynchburg
649,"Lynchburg, VA",2,650.0,1,37.29,-79.16,Lynchburg
650,"Lynchburg, VA",3,557.0,3,37.34,-79.23,Cornerstone
651,"Macon, GA",1,738.0,6,32.9,-83.7,Bibb County
652,"Macon, GA",2,714.0,3,32.84,-83.75,Bibb County
653,"Macon, GA",3,624.0,4,32.83,-83.72,Bibb County
654,"Madera, CA",1,392.0,6,37.11,-120.28,Chowchilla
655,"Madera, CA",2,339.0,4,36.95,-120.06,Madera
656,"Madera, CA",3,286.0,4,36.98,-120.05,Madera
657,"Madison, WI",1,3906.0,34,43.07,-89.39,Downtown Madison
658,"Madison, WI",2,2303.0,16,43.07,-89.4,Downtown Madison
659,"Madison, WI",3,1872.0,11,43.07,-89.46,West Madison
660,"Manchester, NH",1,1657.0,3,42.71,-71.45,Southeast Nashua
661,"Manchester, NH",2,1157.0,12,42.99,-71.46,Downtown Manchester
662,"Manchester, NH",3,1006.0,5,42.76,-71.47,Mine Falls Park
663,"Manhattan, KS",1,724.0,2,39.22,-96.56,Kansas Area
664,"Manhattan, KS",2,704.0,3,39.19,-96.64,Kansas Area
665,"Manhattan, KS",3,559.0,3,39.19,-96.6,Kansas Area
666,"Mankato, MN",1,859.0,5,44.15,-93.99,University
667,"Mankato, MN",2,498.0,2,44.17,-93.94,East Mankato
668,"Mankato, MN",3,336.0,3,44.17,-94.04,North Mankato
669,"Mansfield, OH",1,244.0,2,40.73,-82.51,Mansfield
670,"Mansfield, OH",2,214.0,2,40.73,-82.53,Mansfield
671,"Mansfield, OH",3,190.0,2,40.75,-82.53,Mansfield
672,"McAllen, TX",1,721.0,3,26.17,-97.95,Donna/Weslaco/Mercedes
673,"McAllen, TX",2,638.0,7,26.3,-98.18,Edinburg/North Hidalgo County
674,"McAllen, TX",3,568.0,2,26.16,-98.29,Mission
675,"Medford, OR",1,600.0,1,42.3,-122.85,Medford/Grants Pass
676,"Medford, OR",2,438.0,4,42.34,-122.87,Medford/Grants Pass
677,"Medford, OR",3,397.0,1,42.38,-122.92,Medford/Grants Pass
678,"Melbourne, FL",1,1097.0,4,28.24,-80.73,Suburban Melbourne
679,"Melbourne, FL",2,940.0,5,28.04,-80.62,South Brevard County
680,"Melbourne, FL",3,934.0,6,28.06,-80.62,Downtown Melbourne
681,"Memphis, TN",1,2132.0,6,35.06,-89.85,Hickory Hill
682,"Memphis, TN",2,1981.0,9,35.14,-90.04,Medical District
683,"Memphis, TN",3,1871.0,10,35.14,-90.05,Downtown Memphis
684,"Merced, CA",1,912.0,7,37.32,-120.48,Merced County
685,"Merced, CA",2,886.0,3,37.36,-120.58,Merced County
686,"Merced, CA",3,612.0,7,37.32,-120.49,Merced County
687,"Miami, FL",1,12968.0,19,25.78,-80.19,Park West
688,"Miami, FL",2,11508.0,38,25.8,-80.19,Edgewater
689,"Miami, FL",3,7360.0,15,25.79,-80.19,Media & Entertainment District
690,"Michigan City-La Porte, IN",1,572.0,1,41.68,-86.88,South Bend/Elkhart
691,"Michigan City-La Porte, IN",2,496.0,3,41.59,-86.74,South Bend/Elkhart
692,"Michigan City-La Porte, IN",3,410.0,3,41.69,-86.87,South Bend/Elkhart
693,"Midland, MI",1,454.0,1,43.64,-84.29,Midland/Flint
694,"Midland, MI",2,286.0,2,43.62,-84.2,Midland/Flint
695,"Midland, MI",3,285.0,2,43.65,-84.29,Midland/Flint
696,"Midland, TX",1,1200.0,6,31.98,-102.06,Midland & Odessa
697,"Midland, TX",2,998.0,3,32.06,-102.08,Midland & Odessa
698,"Midland, TX",3,784.0,6,32.01,-102.14,Midland & Odessa
699,"Milwaukee, WI",1,2924.0,16,43.04,-87.91,Juneau Town
700,"Milwaukee, WI",2,2412.0,16,43.05,-87.91,Brewer's Hill
701,"Milwaukee, WI",3,2033.0,17,43.05,-87.9,Yankee Hill
702,"Minneapolis, MN",1,5648.0,36,44.97,-93.28,Loring Park
703,"Minneapolis, MN",2,4142.0,25,44.95,-93.09,Lowertown
704,"Minneapolis, MN",3,3689.0,14,44.98,-93.27,Warehouse District
705,"Missoula, MT",1,1029.0,5,46.89,-114.05,Missoula
706,"Missoula, MT",2,643.0,1,46.9,-114.07,Missoula
707,"Missoula, MT",3,350.0,2,46.85,-114.04,Missoula
708,"Mobile, AL",1,1121.0,3,30.67,-88.15,Airmont
709,"Mobile, AL",2,872.0,2,30.66,-88.18,Claremont
710,"Mobile, AL",3,858.0,4,30.66,-88.19,Claremont
711,"Modesto, CA",1,799.0,6,37.69,-121.03,North Modesto
712,"Modesto, CA",2,588.0,2,37.61,-120.97,Outer Ceres/Keyes
713,"Modesto, CA",3,582.0,2,37.69,-121.05,North Modesto
714,"Monroe, LA",1,653.0,5,32.52,-92.12,Louisiana North Area
715,"Monroe, LA",2,451.0,2,32.56,-92.07,Louisiana North Area
716,"Monroe, LA",3,435.0,2,32.44,-92.1,Louisiana North Area
717,"Monroe, MI",1,692.0,4,41.94,-83.41,Monroe
718,"Monroe, MI",2,396.0,1,41.96,-83.68,Outlying Monroe County
719,"Monroe, MI",3,310.0,2,41.95,-83.41,Monroe
720,"Montgomery, AL",1,1168.0,5,32.33,-86.23,Outer South/Airport
721,"Montgomery, AL",2,997.0,4,32.35,-86.22,Outer East
722,"Montgomery, AL",3,897.0,4,32.36,-86.21,Outer East
723,"Morgantown, WV",1,861.0,5,39.65,-79.95,West Virginia North Area
724,"Morgantown, WV",2,748.0,4,39.66,-79.95,West Virginia North Area
