,market,rank,total_units,total_properties,lat,lon,submarket
50,"Atlanta, GA",3,4598.0,13,33.78,-84.39,Central Midtown
51,"Atlantic City, NJ",1,1956.0,14,39.37,-74.43,Westside
52,"Atlantic City, NJ",2,1001.0,5,39.37,-74.41,Uptown Atlantic City
53,"Atlantic City, NJ",3,734.0,2,39.36,-74.45,Bader Field
54,"Auburn-Opelika, AL",1,600.0,1,32.54,-85.52,Lee County
55,"Auburn-Opelika, AL",2,346.0,1,32.51,-85.0,Lee County
56,"Auburn-Opelika, AL",3,342.0,1,32.53,-85.08,Lee County
57,"Augusta, GA",1,1258.0,4,33.47,-82.06,Forest Hills
58,"Augusta, GA",2,1195.0,3,33.48,-82.11,Belair
59,"Augusta, GA",3,1056.0,5,33.52,-82.04,Westside
60,"Austin, TX",1,4900.0,10,30.4,-97.72,Domain
61,"Austin, TX",2,4307.0,15,30.27,-97.75,Market District
62,"Austin, TX",3,4290.0,17,30.23,-97.73,East Riverside-Oltorf
63,"Bakersfield, CA",1,770.0,6,35.33,-119.04,Wible Orchard
64,"Bakersfield, CA",2,739.0,6,35.35,-119.06,Wible Orchard
65,"Bakersfield, CA",3,596.0,3,35.4,-119.09,Riverlakes
66,"Baltimore, MD",1,5276.0,29,39.29,-76.62,Historic Baltimore
67,"Baltimore, MD",2,2904.0,14,39.29,-76.61,Historic Baltimore
68,"Baltimore, MD",3,2474.0,8,39.3,-76.45,Essex
69,"Bangor, ME",1,194.0,1,44.82,-68.79,Maine North & Bangor
70,"Bangor, ME",2,151.0,2,44.81,-68.8,Maine North & Bangor
71,"Bangor, ME",3,136.0,2,44.82,-68.81,Maine North & Bangor
72,"Barnstable Town, MA",1,272.0,1,41.68,-70.3,Cape Cod
73,"Barnstable Town, MA",2,184.0,3,41.65,-70.29,Cape Cod
74,"Barnstable Town, MA",3,150.0,1,41.66,-70.21,
75,"Baton Rouge, LA",1,1507.0,6,30.46,-91.13,Lobdell/Wooddale
76,"Baton Rouge, LA",2,983.0,5,30.43,-91.06,Sherwood Forest
77,"Baton Rouge, LA",3,868.0,2,30.41,-91.04,Shenandoah
78,"Battle Creek, MI",1,1022.0,5,42.25,-85.19,Battle Creek
79,"Battle Creek, MI",2,816.0,2,42.26,-85.19,Battle Creek
80,"Battle Creek, MI",3,677.0,3,42.33,-85.27,Battle Creek
